alpha,bp_batch_mean,bp_batch_mean_delta,bp_batch_mean_percent_error,utilization,bp_by_hour_50,bp_by_hour_95,bp_by_hour_99,bp_by_hour_mean,bp_by_day_50,bp_by_day_95,bp_by_day_99,bp_by_day_mean,bp_by_week_50,bp_by_week_95,bp_by_week_99,bp_by_week_mean,bp_by_month_50,bp_by_month_95,bp_by_month_99,bp_by_month_mean,bp_by_year_50,bp_by_year_95,bp_by_year_99,bp_by_year_mean,billable_time,lost_billable_time,server_cost_time,num_servers,ns_delta
0.54,0.0406712676222,0.0110023979058,27.0520161998,0.554190624541,0,0.333333333333,0.666666666667,0.046346579354,0.0448182788274,0.143866853049,0.190368870895,0.052369397912,0.0462226368992,0.118828145535,0.130350180386,0.0507833843599,0.0461438048062,0.0935460259795,0.0975432739217,0.0461325558758,0.0401664421562,0.0401664421562,0.0401664421562,0.0401664421562,832188986,39103235,2001559006450,44.3408480565,4.7137120507
0.55,0.0401875774199,0.010892390939,27.1038754718,0.552212049895,0,0.333333333333,0.666666666667,0.0463410061436,0.0426542679537,0.145506168569,0.198407148407,0.0522950075683,0.0458375702886,0.117162320194,0.144272002118,0.0506502893219,0.0453316006854,0.0932716661524,0.0974884019563,0.0455189092701,0.0396413160118,0.0396413160118,0.0396413160118,0.0396413160118,832852891,38439330,2027351328550,44.5253886926,4.72624483647
0.56,0.0400578068778,0.010762820812,26.868222828,0.550049050545,0,0.333333333333,0.666666666667,0.0461582327369,0.0419106167057,0.137911520737,0.200316239316,0.0517712536869,0.0451984241894,0.121020139916,0.132629000761,0.050143108661,0.0449485452596,0.0926386966312,0.0963991125045,0.045185552851,0.0394814950113,0.0394814950113,0.0394814950113,0.0394814950113,833043110,38249111,2055029299480,44.6912073027,4.74027953233
0.57,0.0401403881319,0.01076917259,26.8287704508,0.547502007363,0,0.333333333333,0.666666666667,0.0476249916926,0.0445685909373,0.142615012107,0.203330914369,0.052157233971,0.0448971164145,0.126322871807,0.132269670168,0.0505367532573,0.0444876709516,0.0926459000399,0.0954378576387,0.0452654261985,0.0395614055115,0.0395614055115,0.0395614055115,0.0395614055115,832812295,38479926,2083766792080,44.8784687868,4.75746972259
0.58,0.0395564206925,0.0106460211472,26.9135097685,0.545470502172,0,0.333333333333,0.666666666667,0.0470648552163,0.0422253196261,0.138866898955,0.203330914369,0.0515705166773,0.0435318374773,0.120627175543,0.132269670168,0.0497680440689,0.0431253379001,0.0929515446709,0.0953920203929,0.044653650163,0.038950660974,0.038950660974,0.038950660974,0.038950660974,833415200,37877021,2111165102080,45.060459364,4.77479088212
0.59,0.0390786291512,0.0106811228857,27.3323888727,0.543170674128,0,0.333333333333,0.666666666667,0.0470355501149,0.0412948331723,0.14096242052,0.20279245283,0.051019026793,0.0424806666216,0.119937707197,0.129776252784,0.0493405235893,0.0426183703229,0.0933173577737,0.0954651830135,0.0442666885607,0.0384769058654,0.0384769058654,0.0384769058654,0.0384769058654,834030189,37262032,2137239675280,45.2503474676,4.79149065909
0.6,0.038795493423,0.0105705079989,27.2467419956,0.541098879712,0,0.333333333333,0.666666666667,0.0469271766629,0.0410051088808,0.145386904762,0.20279245283,0.0513677121231,0.0426186333741,0.125057175861,0.145637092316,0.0496859349685,0.043476784482,0.092920259867,0.0954927296041,0.0440902084967,0.0381915112217,0.0381915112217,0.0381915112217,0.0381915112217,834298486,36993735,2164964642080,45.4220730271,4.80485013565
0.61,0.0383412965257,0.0105618127953,27.5468326644,0.539041919082,0,0.333333333333,0.666666666667,0.0464718787116,0.0419600938967,0.145386904762,0.20279245283,0.0509800371546,0.0419127513279,0.118366573602,0.1443684356,0.0491712245762,0.0419156523127,0.0918877913028,0.0947514050315,0.0436688298198,0.0377805429348,0.0377805429348,0.0377805429348,0.0377805429348,834666183,36626038,2189044715080,45.602196702,4.81987886258
0.62,0.0381230460685,0.0103926501215,27.2608072891,0.536446239597,0,0.333333333333,0.666666666667,0.0461253535137,0.0397239204458,0.140546187897,0.20279245283,0.0502135571196,0.0423509674212,0.11796442883,0.130713101161,0.0484335547498,0.0411552301391,0.0913968389842,0.0950810792556,0.0432605927337,0.0375236877554,0.0375236877554,0.0375236877554,0.0375236877554,834827749,36464472,2221027296920,45.7862073027,4.83669882861
0.63,0.037379814782,0.0103608205329,27.7176882586,0.534227680914,0,0.333333333333,0.666666666667,0.0459302033404,0.037820092576,0.146428571429,0.253030790688,0.0504710488062,0.0409019607587,0.118213443261,0.152224064861,0.04843437868,0.0414231691608,0.0909202934829,0.0934882437481,0.0426136998492,0.0368044932533,0.0368044932533,0.0368044932533,0.0368044932533,835541521,35750700,2248895910920,45.9784923439,4.85046468279
0.64,0.0371497670029,0.0102342656576,27.5486671472,0.531520785389,0,0.333333333333,0.666666666667,0.0457868246582,0.0374834144184,0.138729722658,0.253030790688,0.0500888336986,0.0411769367223,0.115165386392,0.149686751428,0.0480705040322,0.0415700111778,0.0898998305998,0.0911448277325,0.0423055309486,0.0365704696454,0.0365704696454,0.0365704696454,0.0365704696454,835897358,35394863,2281879616420,46.162573616,4.86397972351
0.65,0.0367073674276,0.0101380367867,27.6185340904,0.529375484891,0,0.333333333333,0.691764705882,0.0453142817731,0.0374505824299,0.138920690227,0.253030790688,0.0495437080389,0.0409632195491,0.117028386234,0.146905749033,0.0475001070492,0.0412157494492,0.0886411649993,0.0920697225038,0.0417266953676,0.0361195461084,0.0361195461084,0.0361195461084,0.0361195461084,836372212,34920009,2310057951320,46.3531272085,4.88032144695
